proteinID	geneID	uniprot	protein_name	gene_name
CYTOCHROMEC552-MONOMER	EG11781	P0ABK9	cytochrome <i>c</i><sub>552</sub> nitrite reductase	NrfA, cytochrome <i>c</i><sub>552</sub>, aeg-93, cytochrome <i>c</i>-552
NAPC-MONOMER	EG12060	P0ABL5	periplasmic nitrate reductase cytochrome c protein	YejX, NapC, cytochrome c-type protein
SDH-MEMB1	EG10933	P69054	succinate:quinone oxidoreductase, membrane protein SdhC	DhsC, CybA, SdhC, large subunit of cytochrome b<sub>556</sub>, CybL
FDNI-MONOMER	EG11229	P0AEK7	formate dehydrogenase N subunit &gamma;	FdnI, formate dehydrogenase N cytochrome <i>b</i> subunit
SDH-MEMB2	EG10934	P0AC44	succinate:quinone oxidoreductase, membrane protein SdhD	DhsD, SdhD, CybS, small subunit of cytochrome b<sub>556</sub>
FDOI-MONOMER	EG11856	P0AEL0	formate dehydrogenase O subunit &gamma;	FdoI, formate dehydrogenase O cytochrome <i>b</i> subunit
HYAC-MONOMER	EG10470	P0AAM1	hydrogenase 1 cytochrome <i>b</i> subunit	CybH, HyaC, hydrogenase 1 - B subunit, hydrogenase 1 - &gamma; subunit
EG12054-MONOMER	EG12054	P33927	holocytochrome <I>c</I> synthase CcmF component	YejR, CcmF, cytochrome <i>c</i> heme lyase, cytochrome <i>c</i> synthetase, cytochrome <i>c</i> maturation protein F
HOLO-ENTB	EG10260		<i>holo</i> EntB	
CYTOCHROMEC-MONOMER	EG11945	P0ABL1	periplasmic nitrite reductase penta-heme <i>c</i>-type cytochrome	YjcI, NrfB
MONOMER0-4398	EG10264		seryl-[EntF peptidyl-carrier protein]	
FERREDOXIN-MONOMER	EG11328	P0A9R4	reduced ferredoxin	Fdx
FUM-FE-S	EG10331	P0AC47	fumarate reductase iron-sulfur protein	FrdB
SDH-FE-S	EG10932	P07014	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein	DhsB, SdhB
TAR-GLU			Tar<SUP>glu</SUP>	
MONOMER0-4170	EG10150		CheY-acetylated	modified chemotaxis regulator transmitting signal to flagellar motor component, acetylated CheY
PHOSPHO-NARL	EG10643		Phosphorylated DNA-binding transcriptional dual regulator NarL	NarR, FrdR, NarL, NarL-P<sup>asp59</sup>, NarL response regulator - phosphorylated
OX-GLUTAREDOXIN-C	EG12294		oxidized glutaredoxin 3	YibM, GrxC
TAP-GLU			Tap<SUP>glu</SUP>	
PHOSPHO-HYDH	EG10008		ZraS-<i>N</i>-phospho-L-histidine	ZraS-P<sup>his254</sup>
CPLX0-2			oxidized flavorubredoxin	
OX-FERREDOXIN	EG11328		oxidized ferredoxin	Fdx
PHOSPHO-EVGA	EG11609		Phosphorylated DNA-binding transcriptional activator EvgA	EvgA-P<sup>asp</sup>, EvgA response regulator - phosphorylated
BCCP-BIOTIN-CO2			carboxybiotin-carboxyl-carrier protein	FabE, AccB, BCCP-biotin-CO<SUB>2</SUB>
PHOSPHO-ATOC	EG11668		phosphorylated DNA-binding transcriptional activator AtoC	AtoC-P<sup>asp55</sup>, AtoC response regulator - phosphorylated
TSR-GLUME			Tsr<SUP>glu-Me</SUP>	
SAMDC-ALPHA-MONOMER	EG10962		&alpha; cleavage product of SpeD	
MONOMER0-4194	EG10822		RcsC-phospho-L-aspartate	RcsC-P<sup>asp875</sup>
PHOSPHO-PHOP	EG10731		Phosphorylated DNA-binding transcriptional dual regulator PhoP	PhoP, PhoP-P<sup>asp51</sup>, PhoP response regulator - phosphorylated
ADENYLYL-GS	EG10383		adenylyl-[glutamine synthetase]	GlnA, adenylyl-[L-glutamate:ammonia Ligase (ADP-forming)], adenylyl-GS
PHOSPHO-ARCB-ASP	EG10062		ArcB-phospho-L-aspartate-576	ArcB, ArcB-P<sup>asp576</sup>
TRG-GLUME			Trg<SUP>glu-Me</SUP>	
MONOMER0-4184	EG11610		EvgS-<i>N</i>-phospho-L-histidine-721	EvgS-P<sup>his721</sup>, phosphorylated EvgS
MONOMER0-2	EG12407		&alpha; cleavage product of IaaA	Spt, IaaA, YbiK
PHOSPHASERDECARB-ALPHA-MONOMER	EG10775		phosphatidylserine decarboxylase, &alpha; chain	Psd
TAR-GLUME			Tar<SUP>glu-Me</SUP>	
PHOSPHO-NARP	EG11527		Phosphorylated DNA-binding transcriptional dual regulator NarP	NarP, NarP-P<sup>asp59</sup>, NarP response regulator - phosphorylated
MONOMER0-1	EG11140		Phosphorylated DNA-binding transcriptional activator UvrY	YecB, UvrY, UvrY-P<sup>asp54</sup>, UvrY response regulator - phosphorylated
PHOSPHO-CHEB	EG10147		CheB-P<SUP>asp</SUP>	CheB, protein-glutamate methylesterase-P<sup>asp</sup>, CheB-phosphate, phospho-CheB, peptidoglutaminase II
OX-THIOREDOXIN-MONOMER	EG11031		oxidized thioredoxin	DasC, TsnC, FipA, TrxA, thioredoxin(S)<sub>2</SUB>
TAP-GLUME			Tap<SUP>glu-Me</SUP>	
PHOSPHO-TORR			TorR-Phosphorylated DNA-binding transcriptional dual regulator	TorR, TorR response regulator - phosphorylated, TorR-P<SUP>asp53</SUP>
MONOMER0-4152	EG11297		thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub>	PpfA, IarA, Dsf, DsbA
ISOCITHASE-P			isocitrate dehydrogenase-P	[isocitrate dehydrogenase (NADP+)]-phosphate, isocitrate dehydrogenase phosphate
CPLX0-2821			TorR-TorI	
PHOSPHO-BARA-ASP	EG11367		BarA-phospho-L-aspartate-718	Asp-718 phosphorylated BarA, BarA-P<SUP>asp718</SUP>
OX-FLAVODOXIN1	EG10318		oxidized flavodoxin 1	FldA
MONOMER0-4210	EG11367		BarA-<i>N</i>-phospho-L-histidine-302	BarA-P<sup>his302</sup>, His-302 phosphorylated BarA
PHOSPHO-RCSC	EG10822		RcsC-<i>N</i>-phospho-L-histidine	RcsC-P<SUP>his479</SUP>
PHOSPHO-EVGS	EG11610		EvgS-<i>N</i>-phospho-L-histidine-1137	EvgS-P<SUP>his1137</SUP>
ENTB-CPLX			<i>holo</i>-EntB dimer	holo-EntB
BOUND-TORT	G6515		TorT-TMAO	YccH, TorT, inducer-binding protein TorT-TMAO, bound inducer-binding protein TorT
SAMDC-BETA-MONOMER	EG10962		&beta; cleavage product of SpeD	
MONOMER0-3	EG12407		&beta; cleavage product of IaaA	Spt, IaaA, YbiK
PHOSPHO-ARCB-HIS	EG10062		ArcB-<i>N</i>-phospho-L-histidine-292	ArcB, ArcB-P<sup>his292</sup>
TSR-GLN			Tsr<SUP>gln</SUP>	
PYRUVFORMLY-CPLX			activated pyruvate-formate lyase	
MONOMER0-4185	EG11610		EvgS-phospho-L-aspartate	EvgS-P<sup>asp1009</sup>, phosphorylated EvgS
PHOSPHO-DCUR-MONOMER	G7826		DcuR	YjdG, DcuR
PHOSPHASERDECARB-BETA-MONOMER	EG10775		phosphatidylserine decarboxylase, &beta; chain	Psd
TRG-GLN			Trg<SUP>gln</SUP>	
MONOMER0-4299	EG11367		BarA-<i>N</i>-phospho-L-histidine-861	BarA-P<sup>his861</sup>, His-861 phosphorylated BarA
PROTEIN-NRIP			NtrC-Phosphorylated DNA-binding transcriptional dual regulator	NtrC-P<sup>asp54</sup>, NRI, NtrC response regulator - phosphorylated
PHOSPHO-CPXR	EG10020		Phosphorylated DNA-binding transcriptional dual regulator CpxR	CpxR response regulator - phosphorylated
PHOSPHO-CHEY	EG10150		CheY-P<sup>asp</sup>	CheY, phosphorylated chemotaxis regulator protein CheY, phospho-CheY
OX-THIOREDOXIN2-MONOMER	EG11887		oxidized thioredoxin 2	YfiG, TrxC
TAR-GLN			Tar<SUP>gln</SUP>	
PHOSPHO-UHPA	EG11051		UhpA-Phosphorylated	UhpA
PHOSPHO-KDPE	EG10517		KdpE-Phosphorylated	
KETOBUTFORMLY-MONOMER	G7627		activated 2-ketobutyrate formate-lyase / pyruvate formate-lyase 4	YhaS, TdcE, PFL4
PHOSPHO-BASR	EG11615		Phosphorylated DNA-binding transcriptional dual regulator BasR	PmrA, BasR, BasR-P<sup>asp51</sup>, BasR response regulator - phosphorylated
OX-GLUTAREDOXIN-B	EG12688		oxidized glutaredoxin 2	GrxB
TAP-GLN			Tap<SUP>gln</SUP>	
PHOSPHO-RSTA	G6864		Phosphorylated DNA-binding transcriptional regulator RstA	UrpT, RstA-P<sup>asp52</sup>, RstA response regulator - phosphorylated
PHOSPHO-HYDG	EG10482		Phosphorylated DNA-binding transcriptional activator ZraR	ZraR-P<sup>asp56</sup>, HydG, ZraR response regulator - phosphorylated
CHEA-CPLX			chemotaxis protein CheA(L)	chemotaxis kinase-phosphotransferase CheA(L), CheA, CheAL
PHOSPHO-BAER	EG11618		Phosphorylated DNA-binding transcriptional activator BaeR	BaeR-P<SUP>asp61</SUP>, BaeR response regulator - phosphorylated
CPLX0-8566			NtrC phosphorylated dimer	
BCCP-BIOTIN			biotinylated biotin-carboxyl carrier protein	FabE, AccB, [acetyl-CoA:carbon-dioxide ligase (ADP forming)], BCCP-biotin, biotin-BCCP
PHOSPHO-ARCB717	EG10062		ArcB-<i>N</i>-phospho-L-histidine-717	ArcB, ArcB-P<SUP>his717</SUP>
TSR-GLU			Tsr<SUP>glu</SUP>	
PHOSPHO-PHOB	EG10728		Phosphorylated DNA-binding transcriptional dual regulator PhoB	PhoT, PhoB response regulator - phosphorylated, PhoB-P<sup>asp53</sup>
CPLX0-8274			CheA(L) - phosphorylated	CheA(L)-P<sup>his48</sup>
PHOSPHO-ARCA	EG10061		Phosphorylated DNA-binding transcriptional dual regulator ArcA	ArcA-P<sup>asp54</sup>, ArcA response regulator - phosphorylated, FexA, Dye, CpxC, SfrA, ArcA, Seg, Msp
TRG-GLU			Trg<SUP>glu</SUP>	
PHOSPHO-CREB	EG11218		Phosphorylated DNA-binding transcriptional regulator CreB	YjjE, CreB-P<sup>asp54</sup>, CreB response regulator - phosphorylated
ACECITLY-CPLX			citrate lyase	citrate lyase, active, acetyl-citrate lyase
RNAP70-CPLX			RNA polymerase sigma 70	RNA polymerase sigma 70 holoenzyme, RNA polymerase sigma D
